5  !number of header lines including this one
This file contains 10 nm resolution data for use in SLC_demo
The data for W, Nr, Kab, Kw, Kdm and H2O_abko were taken from "dataSpec_P4.m"
The data for Ks and H2O_refr were taken from "OPTCOEFF.DAT"
W	Nr	Kdm	Kab	Kw	Ks	H2O_refr	H2O_abko	
201  !number of spectral bands
1.960	1.316410	8.860E+00	0.000E+00	1.070E+02	0.000000	1.307070	1.070E+02	
1.970	1.313290	8.830E+00	0.000E+00	9.630E+01	0.000000	1.306640	9.630E+01	
1.980	1.309400	8.800E+00	0.000E+00	8.610E+01	0.000000	1.306360	8.610E+01	
1.990	1.306460	8.810E+00	0.000E+00	7.720E+01	0.000000	1.306160	7.720E+01	
2.000	1.302740	9.080E+00	0.000E+00	6.920E+01	0.000000	1.306000	6.920E+01	
2.010	1.301250	9.520E+00	0.000E+00	6.230E+01	0.000000	1.305830	6.230E+01	
2.020	1.300630	1.040E+01	0.000E+00	5.630E+01	0.000000	1.305620	5.630E+01	
2.030	1.301940	1.180E+01	0.000E+00	5.100E+01	0.000000	1.305360	5.100E+01	
2.040	1.298970	1.360E+01	0.000E+00	4.630E+01	0.000000	1.305030	4.630E+01	
2.050	1.301730	1.550E+01	0.000E+00	4.230E+01	0.000000	1.304610	4.230E+01	
2.060	1.300870	1.700E+01	0.000E+00	3.870E+01	0.000000	1.304140	3.870E+01	
2.070	1.302040	1.770E+01	0.000E+00	3.540E+01	0.000000	1.303630	3.540E+01	
2.080	1.302810	1.820E+01	0.000E+00	3.250E+01	0.000000	1.303150	3.250E+01	
2.090	1.303200	1.870E+01	0.000E+00	3.000E+01	0.000000	1.302700	3.000E+01	
2.100	1.303270	1.920E+01	0.000E+00	2.780E+01	0.000000	1.302280	2.780E+01	
2.110	1.303040	1.950E+01	0.000E+00	2.580E+01	0.000000	1.301870	2.580E+01	
2.120	1.302540	1.970E+01	0.000E+00	2.420E+01	0.000000	1.301410	2.420E+01	
2.130	1.301820	1.990E+01	0.000E+00	2.280E+01	0.000000	1.300880	2.280E+01	
2.140	1.300900	2.010E+01	0.000E+00	2.160E+01	0.000000	1.300260	2.160E+01	
2.150	1.299700	2.030E+01	0.000E+00	2.070E+01	0.000000	1.299560	2.070E+01	
2.160	1.298500	2.030E+01	0.000E+00	1.990E+01	0.000000	1.298810	1.990E+01	
2.170	1.297300	2.010E+01	0.000E+00	1.930E+01	0.000000	1.298050	1.930E+01	
2.180	1.296000	1.970E+01	0.000E+00	1.880E+01	0.000000	1.297280	1.880E+01	
2.190	1.294900	1.910E+01	0.000E+00	1.840E+01	0.000000	1.296550	1.840E+01	
2.200	1.293700	1.850E+01	0.000E+00	1.830E+01	0.000000	1.295880	1.830E+01	
2.210	1.292400	1.800E+01	0.000E+00	1.830E+01	0.000000	1.295270	1.830E+01	
2.220	1.291200	1.760E+01	0.000E+00	1.840E+01	0.000000	1.294690	1.840E+01	
2.230	1.290000	1.800E+01	0.000E+00	1.860E+01	0.000000	1.294130	1.860E+01	
2.240	1.288800	1.930E+01	0.000E+00	1.890E+01	0.000000	1.293530	1.890E+01	
2.250	1.287600	2.160E+01	0.000E+00	1.940E+01	0.000000	1.292880	1.940E+01	
2.260	1.286500	2.410E+01	0.000E+00	2.000E+01	0.000000	1.292140	2.000E+01	
2.270	1.285400	2.630E+01	0.000E+00	2.090E+01	0.000000	1.291280	2.090E+01	
2.280	1.284300	2.760E+01	0.000E+00	2.180E+01	0.000000	1.290260	2.180E+01	
2.290	1.283200	2.910E+01	0.000E+00	2.300E+01	0.000000	1.289130	2.300E+01	
2.300	1.282200	3.030E+01	0.000E+00	2.430E+01	0.000000	1.287940	2.430E+01	
2.310	1.281100	3.070E+01	0.000E+00	2.580E+01	0.000000	1.286750	2.580E+01	
2.320	1.280100	3.000E+01	0.000E+00	2.740E+01	0.000000	1.285630	2.740E+01	
2.330	1.279300	2.980E+01	0.000E+00	2.930E+01	0.000000	1.284630	2.930E+01	
2.340	1.278600	3.020E+01	0.000E+00	3.140E+01	0.000000	1.283780	3.140E+01	
2.350	1.277800	3.010E+01	0.000E+00	3.350E+01	0.000000	1.283030	3.350E+01	
2.360	1.276900	2.930E+01	0.000E+00	3.590E+01	0.000000	1.283030	3.590E+01	
2.370	1.275900	2.860E+01	0.000E+00	3.850E+01	0.000000	1.283030	3.850E+01	
2.380	1.275100	2.800E+01	0.000E+00	4.150E+01	0.000000	1.283030	4.150E+01	
2.390	1.274300	2.780E+01	0.000E+00	4.440E+01	0.000000	1.283030	4.440E+01	
2.400	1.273700	2.780E+01	0.000E+00	4.760E+01	0.000000	1.283030	4.760E+01	
